,Title,Author,Rating Count,Review Count,Rating Value,N pag,1st Pub,series,Genres,Awards,Link,minmax_norm_ratings,mean_norm_ratings
16,The Giver,Lois Lowry,1836871,66015,4.13,208.0,1993.0,1,"['Young Adult', 'Fiction', 'Classics']","['Newbery Medal (1994)', ""Mythopoeic Fantasy Award Nominee for Children's Literature (1994)"", 'Golden Duck Award for Young Adult (Hal Clement Award) (1994)', 'Garden State Book Award for Teen Fiction Grades 6-8 (1996)', ""Buckeye Children's Book Award for Grade 6-8 (1997)"", 'Grand Canyon Reader Award for Teen Book (1995)', 'Maryland Black-Eyed Susan Book Award for Grade 6-9 (1995)', 'Golden Sower Award for Young Adult (1995)', ""Pennsylvania Young Readers' Choice Award for Grades 3-8 (1995)"", 'Soaring Eagle Book Award Nominee (1996)', ""Pacific Northwest Library Association Young Reader's Choice Award for Senior (1996)"", 'Boston Globe-Horn Book Award Nominee for Fiction (1993)', 'New Mexico Land of Enchantment Award (1997)', 'Eliot Rosewater Indiana High School Book Award (1997)', ""William Allen White Children's Book Award (1996)"", 'Wyoming Indian Paintbrush Nominee (1996)', ""NSK Neustadt Prize for Children's Literature Nominee (2013)"", 'Oklahoma Sequoyah Award for YA (1996)', ""Rebecca Caudill Young Readers' Book Award (1996)"", 'Hea Lasteraamat (2010)', 'Premi Protagonista Jove for Categoria 13-14 anys (2016)', 'Margaret A. Edwards Award (2007)']",https://www.goodreads.com/book/show/5.Harry_Potter_and_the_Prisoner_of_Azkaban,6.799,1.424
17,Harry Potter and the Prisoner of Azkaban,J.K. Rowling,2903473,57160,4.57,435.0,1999.0,1,"['Fantasy', 'Young Adult', 'Fiction']","['Bram Stoker Award for Best Work for Young Readers (1999)', 'Hugo Award Nominee for Best Novel (2000)', 'Locus Award for Best Fantasy Novel (2000)', ""Whitbread Award for Children's Book of the Year (1999)"", ""Mythopoeic Fantasy Award for Children's Literature (2008)"", 'Books I Loved Best Yearly (BILBY) Awards for Older Readers (2005)', 'Colorado Blue Spruce Young Adult Book Award (2004)', 'Maine Student Book Award (2001)', 'Golden Archer Award for Intermediate (2001)', 'Indian Paintbrush Book Award (2004)', 'Soaring Eagle Book Award (2002)', 'Hotze de Roosprijs (2001)', 'Nestlé Smarties Book Prize for 9–11 years (1999)']",https://www.goodreads.com/book/show/3636.The_Giver,9.456,4.082
18,Lord of the Flies,William Golding,2313858,38480,3.69,182.0,1954.0,0,"['Classics', 'Fiction', 'Young Adult']",,https://www.goodreads.com/book/show/7624.Lord_of_the_Flies,4.141,-1.233
19,Slaughterhouse-Five,Kurt Vonnegut Jr.,1150861,27540,4.08,275.0,1969.0,0,"['Classics', 'Fiction', 'Science Fiction']","['Hugo Award Nominee for Best SF Novel (1970)', 'Nebula Award Nominee for Best Novel (1969)', 'National Book Award Finalist for Fiction (1970)', ""Chicago Publishers' Award (1970)""]",https://www.goodreads.com/book/show/4981.Slaughterhouse_Five,6.497,1.122
20,East of Eden,John Steinbeck,436615,19952,4.38,601.0,1952.0,0,"['Classics', 'Fiction', 'Historical']","['Audie Award for Classic (2004)', 'National Book Award Finalist for Fiction (1953)']",https://www.goodreads.com/book/show/7604.Lolita,8.309,2.934
21,Lolita,Vladimir Nabokov,675740,25288,3.89,331.0,1955.0,0,"['Classics', 'Fiction', 'Literature']",['National Book Award Finalist for Fiction (1959)'],https://www.goodreads.com/book/show/4406.East_of_Eden,5.349,-0.025
22,The Handmaid's Tale,Margaret Atwood,1509097,72336,4.11,314.0,1985.0,1,"['Fiction', 'Classics', 'Science Fiction']","['Booker Prize Nominee (1986)', 'Nebula Award Nominee for Best Novel (1986)', 'Locus Award Nominee for Best SF Novel (1987)', 'Arthur C. Clarke Award (1987)', 'Audie Award for Fiction (2013)', 'Los Angeles Times Book Prize for Fiction (1986)', 'Prometheus Award Nominee for Best Novel (1987)', 'James Tiptree Jr. Award Nominee for Retrospective (1995)', ""Governor General's Literary Awards / Prix littéraires du Gouverneur général for Fiction (1985)"", 'SF Chronicle Award Nominee for Novel (1987)', ""Commonwealth Writers' Prize Nominee for Best Book in Caribbean and Canada (1987)"", 'CBC Canada Reads Nominee (2002)', 'Metų verstinė knyga Nominee (2012)']",https://www.goodreads.com/book/show/38447.The_Handmaid_s_Tale,6.678,1.304
23,One Flew Over the Cuckoo's Nest,Ken Kesey,641349,11366,4.19,325.0,1962.0,0,"['Classics', 'Fiction', 'Literature']",,https://www.goodreads.com/book/show/332613.One_Flew_Over_the_Cuckoo_s_Nest,7.161,1.787
24,The Ultimate Hitchhiker's Guide to the Galaxy,Douglas Adams,292145,5394,4.36,815.0,1996.0,1,"['Science Fiction', 'Fiction', 'Humor']",,https://www.goodreads.com/book/show/34.The_Fellowship_of_the_Ring,8.188,2.814
25,The Fellowship of the Ring,J.R.R. Tolkien,2400261,23530,4.36,398.0,1954.0,1,"['Fantasy', 'Classics', 'Fiction']",['Publieksprijs voor het Nederlandse Boek Nominee (2002)'],https://www.goodreads.com/book/show/13.The_Ultimate_Hitchhiker_s_Guide_to_the_Galaxy,8.188,2.814
