,Title,Author,Rating Count,Review Count,Rating Value,N pag,1st Pub,series,Genres,Awards,Link,minmax_norm_ratings,mean_norm_ratings
242,The Glass Menagerie,Tennessee Williams,113249,2582,3.71,104.0,1945.0,0,"['Plays', 'Classics', 'Drama']","[""New York Drama Critics' Circle Award for Best American Play (1945)""]",https://www.goodreads.com/book/show/92517.The_Glass_Menagerie,4.262,-1.113
243,Island of the Blue Dolphins,Scott O'Dell,298225,8475,3.84,184.0,1960.0,1,"['Young Adult', 'Fiction', 'Historical']","['Newbery Medal (1961)', 'Lewis Carroll Shelf Award (1961)', 'Nene Award (1964)', ""Dorothy Canfield Fisher Children's Book Award Nominee (1962)"", 'Deutscher Jugendliteraturpreis for Jugendbuch (1963)', ""William Allen White Children's Book Award (1963)""]",https://www.goodreads.com/book/show/233818.Island_of_the_Blue_Dolphins,5.047,-0.327
244,The Firm,John Grisham,574055,3529,4.03,76.0,1991.0,0,"['Fiction', 'Thriller', 'Mystery']",,https://www.goodreads.com/book/show/18545.Rosencrantz_and_Guildenstern_Are_Dead,6.195,0.82
245,Rosencrantz and Guildenstern Are Dead,Tom Stoppard,80106,2053,4.06,126.0,1966.0,0,"['Plays', 'Drama', 'Classics']","[""New York Drama Critics' Circle Award for Best Play (1968)""]",https://www.goodreads.com/book/show/5358.The_Firm,6.376,1.002
246,The Bluest Eye,Toni Morrison,179308,9622,4.07,216.0,1970.0,0,"['Fiction', 'Classics', 'Historical']",,https://www.goodreads.com/book/show/11337.The_Bluest_Eye,6.436,1.062
247,The Power of One,Bryce Courtenay,81035,5307,4.32,544.0,1989.0,1,"['Fiction', 'Historical', 'Historical Fiction']","[""West Australian Young Readers' Book Award (WAYRBA) for Older Readers (1996)""]",https://www.goodreads.com/book/show/122.The_Power_of_One,7.946,2.572
248,Breakfast at Tiffany's and Three Stories,Truman Capote,214392,10788,3.88,142.0,1958.0,0,"['Classics', 'Fiction', 'Short Stories']",,https://www.goodreads.com/book/show/251688.Breakfast_at_Tiffany_s_and_Three_Stories,5.289,-0.086
249,Hiroshima,John Hersey,62368,3259,3.99,152.0,1946.0,0,"['History', 'Nonfiction', 'Classics']",,https://www.goodreads.com/book/show/27323.Hiroshima,5.953,0.579
250,The Chosen,Chaim Potok,87427,4272,4.04,304.0,1966.0,1,"['Fiction', 'Classics', 'Historical']","['Edward Lewis Wallant Award (1967)', 'National Book Award Finalist for Fiction (1968)']",https://www.goodreads.com/book/show/27333.Silent_Spring,6.255,0.881
251,Silent Spring,Rachel Carson,36924,2314,3.98,378.0,1962.0,0,"['Nonfiction', 'Science', 'Environment']",['National Book Award Finalist for Nonfiction (1963)'],https://www.goodreads.com/book/show/187181.The_Chosen,5.893,0.518
252,"Foundation / Foundation and Empire / Second Foundation / The Stars, Like Dust / The Naked Sun / I, Robot",Isaac Asimov,4601,88,4.38,864.0,1981.0,1,"['Science Fiction', 'Fiction', 'Classics']",,https://www.goodreads.com/book/show/45195.A_Passage_to_India,8.309,2.934
253,A Passage to India,E.M. Forster,71481,3258,3.68,376.0,1924.0,0,"['Classics', 'Fiction', 'Cultural']","['James Tait Black Memorial Prize for Fiction (1924)', 'Prix Femina Vie Heureuse Anglais (1925)']",https://www.goodreads.com/book/show/278097.Foundation_Foundation_and_Empire_Second_Foundation_The_Stars_Like_Dust_The_Naked_Sun_I_Robot,4.081,-1.294
254,The Razor's Edge,W. Somerset Maugham,37162,3001,4.19,314.0,1944.0,0,"['Fiction', 'Classics', 'Literature']",,https://www.goodreads.com/book/show/31196.The_Razor_s_Edge,7.161,1.787
255,The Left Hand of Darkness,Ursula K. Le Guin,124299,9504,4.08,304.0,1969.0,1,"['Science Fiction', 'Fiction', 'Fantasy']","['Hugo Award for Best Novel (1970)', 'Nebula Award for Best Novel (1969)', 'James Tiptree Jr. Award for Retrospective (1995)', 'Margaret A. Edwards Award (2004)']",https://www.goodreads.com/book/show/18423.The_Left_Hand_of_Darkness,6.497,1.122
256,A Good Man is Hard to Find and Other Stories,Flannery O'Connor,39266,2359,4.21,252.0,1955.0,0,"['Short Stories', 'Fiction', 'Classics']",,https://www.goodreads.com/book/show/48464.A_Good_Man_is_Hard_to_Find_and_Other_Stories,7.282,1.908
257,The Last Battle,C.S. Lewis,229308,6653,4.01,288.0,1956.0,1,"['Fantasy', 'Fiction', 'Classics']","['Audie Award for Inspirational/Faith-Based Fiction (2005)', 'Carnegie Medal (1956)']",https://www.goodreads.com/book/show/84369.The_Last_Battle,6.074,0.7
258,The Second Sex,Simone de Beauvoir,31699,1459,4.13,746.0,1949.0,1,"['Feminism', 'Nonfiction', 'Philosophy']",,https://www.goodreads.com/book/show/457264.The_Second_Sex,6.799,1.424
259,The Witching Hour,Anne Rice,103358,3759,4.1,1207.0,1990.0,1,"['Horror', 'Fantasy', 'Fiction']",['Locus Award for Best Dark Fantasy/Horror Novel (1991)'],https://www.goodreads.com/book/show/11901.The_Witching_Hour,6.617,1.243
260,Snow Falling on Cedars,David Guterson,168109,4863,3.84,460.0,1994.0,0,"['Fiction', 'Historical', 'Historical Fiction']","['Anthony Award Nominee for Best First Novel (1995)', 'PEN/Faulkner Award for Fiction (1995)', 'American Booksellers Book Of The Year  Award for Adult Trade (1996)', 'Martin Beck Award (1996)', 'Barnes and Noble Discover Great New Writers Award (1994)']",https://www.goodreads.com/book/show/682804.The_Killer_Angels,5.047,-0.327
261,The Killer Angels,Michael Shaara,76157,4870,4.31,345.0,1974.0,1,"['Historical', 'Historical Fiction', 'Fiction']",['Pulitzer Prize for Fiction (1975)'],https://www.goodreads.com/book/show/77142.Snow_Falling_on_Cedars,7.886,2.512
262,"Cry, the Beloved Country",Alan Paton,68903,4093,3.89,316.0,1948.0,0,"['Fiction', 'Classics', 'Cultural']",['Anisfield-Wolf Book Award for Fiction (1949)'],https://www.goodreads.com/book/show/6150.Cry_the_Beloved_Country,5.349,-0.025
263,The Bean Trees,Barbara Kingsolver,136163,6526,3.97,232.0,1988.0,1,"['Fiction', 'Contemporary', 'Novels']",,https://www.goodreads.com/book/show/30868.The_Bean_Trees,5.832,0.458
264,The Crying of Lot 49,Thomas Pynchon,73307,4560,3.69,152.0,1966.0,0,"['Fiction', 'Classics', 'Literature']",['Rosenthal Family Foundation Award (1967)'],https://www.goodreads.com/book/show/10979.Light_in_August,4.141,-1.233
265,Light in August,William Faulkner,57195,2591,3.92,507.0,1932.0,0,"['Fiction', 'Classics', 'Literature']",,https://www.goodreads.com/book/show/2794.The_Crying_of_Lot_49,5.53,0.156
266,The Hunt for Red October,Tom Clancy,340447,3168,4.08,432.0,1984.0,1,"['Fiction', 'Thriller', 'Mystery']",,https://www.goodreads.com/book/show/616828.Heart_of_Darkness_and_The_Secret_Sharer,6.497,1.122
267,Heart of Darkness and The Secret Sharer,Joseph Conrad,16577,820,3.5,176.0,1910.0,0,"['Classics', 'Fiction', 'Literature']",,https://www.goodreads.com/book/show/19691.The_Hunt_for_Red_October,2.993,-2.381
268,The Blind Assassin,Margaret Atwood,137836,7953,3.95,637.0,2000.0,0,"['Fiction', 'Historical', 'Historical Fiction']","['Booker Prize (2000)', 'Orange Prize Nominee for Fiction Shortlist (2001)', 'Hammett Prize (2000)', 'Puddly Award for New Novel (2001)', 'International Dublin Literary Award Nominee for Shortlist (2002)']",https://www.goodreads.com/book/show/78433.The_Blind_Assassin,5.711,0.337
269,White Fang,Jack London,157626,4802,3.98,252.0,1906.0,0,"['Classics', 'Fiction', 'Adventure']",,https://www.goodreads.com/book/show/43035.White_Fang,5.893,0.518
270,The Maltese Falcon,Dashiell Hammett,92505,5033,3.9,213.0,1929.0,0,"['Mystery', 'Fiction', 'Classics']","['Anthony Award Nominee for Best Novel of the Century (2000)', 'Audie Award for Audiobook Adaptation (2010)', 'Grammy Award Nominee for Best Spoken Word Album (2010)']",https://www.goodreads.com/book/show/249.Tropic_of_Cancer,5.409,0.035
271,Tropic of Cancer,Henry Miller,66231,3333,3.67,318.0,1934.0,1,"['Fiction', 'Classics', 'Literature']",,https://www.goodreads.com/book/show/29999.The_Maltese_Falcon,4.02,-1.354
272,The Shipping News,Annie Proulx,131612,5099,3.86,337.0,1993.0,0,"['Fiction', 'Contemporary', 'Literature']","['Pulitzer Prize for Fiction (1994)', 'National Book Award for Fiction (1993)', 'Irish Times International Fiction Prize (1993)', 'Chicago Tribune Heartland Prize for Fiction (1993)', 'National Book Critics Circle Award Nominee for Fiction (1993)']",https://www.goodreads.com/book/show/7354.The_Shipping_News,5.168,-0.206
273,Schindler's List,Thomas Keneally,147320,2327,4.33,429.0,1982.0,0,"['History', 'Nonfiction', 'Classics']","['Booker Prize (1982)', 'Los Angeles Times Book Prize for Fiction (1983)']",https://www.goodreads.com/book/show/375013.Schindler_s_List,8.007,2.632
274,Foundation,Isaac Asimov,420270,10090,4.17,244.0,1951.0,1,"['Science Fiction', 'Fiction', 'Classics']",,https://www.goodreads.com/book/show/29579.Foundation,7.04,1.666
275,White Noise,Don DeLillo,87994,5101,3.87,320.0,1985.0,0,"['Fiction', 'Classics', 'Literature']","['National Book Award for Fiction (1985)', 'National Book Critics Circle Award Nominee for Fiction (1985)']",https://www.goodreads.com/book/show/28251250-white-noise,5.228,-0.146
276,The House at Pooh Corner,A.A. Milne,82651,1472,4.36,180.0,1928.0,1,"['Classics', 'Childrens', 'Fiction']",['Lewis Carroll Shelf Award (1958)'],https://www.goodreads.com/book/show/5308.The_Pearl,8.188,2.814
277,The Pearl,John Steinbeck,191112,8767,3.48,96.0,1947.0,0,"['Classics', 'Fiction', 'Literature']",,https://www.goodreads.com/book/show/776407.The_House_at_Pooh_Corner,2.872,-2.502
278,A Heartbreaking Work of Staggering Genius,Dave Eggers,174393,9219,3.68,485.0,2000.0,0,"['Fiction', 'Contemporary', 'Literature']","['Pulitzer Prize Nominee for General Nonfiction (2001)', 'Guardian First Book Award Nominee (2000)', 'Borders Original Voices Award for Nonfiction (2000)', 'Puddly Award for Memoir (2001)']",https://www.goodreads.com/book/show/46799.Go_Ask_Alice,4.081,-1.294
279,Go Ask Alice,Beatrice Sparks,238875,10796,3.76,213.0,1971.0,0,"['Young Adult', 'Fiction', 'Classics']",,https://www.goodreads.com/book/show/4953.A_Heartbreaking_Work_of_Staggering_Genius,4.564,-0.811
280,The Gunslinger,Stephen King,525401,19316,3.94,231.0,1982.0,1,"['Fantasy', 'Fiction', 'Horror']",,https://www.goodreads.com/book/show/248596.Something_Wicked_This_Way_Comes,5.651,0.277
281,Something Wicked This Way Comes,Ray Bradbury,104136,7195,3.93,293.0,1962.0,1,"['Horror', 'Fantasy', 'Fiction']",,https://www.goodreads.com/book/show/43615.The_Gunslinger,5.591,0.216
282,"Are You There God? It's Me, Margaret",Judy Blume,193750,6681,3.9,149.0,1970.0,0,"['Young Adult', 'Fiction', 'Childrens']","['Young Hoosier Book Award (1976)', 'Nene Award (1975)', ""North Dakota Children's Choice Award (1979)"", 'Golden Archer Award (1974)']",https://www.goodreads.com/book/show/7714.Pygmalion,5.409,0.035
283,Pygmalion,George Bernard Shaw,88449,2422,3.9,82.0,1913.0,0,"['Classics', 'Plays', 'Fiction']",,https://www.goodreads.com/book/show/37732.Are_You_There_God_It_s_Me_Margaret,5.409,0.035
284,Narcissus and Goldmund,Hermann Hesse,46576,2068,4.21,320.0,1930.0,0,"['Fiction', 'Classics', 'Philosophy']",['Schlegel-Tieck Prize Nominee for Leila Vennewitz (1994)'],https://www.goodreads.com/book/show/5954.Narcissus_and_Goldmund,7.282,1.908
285,Speak,Laurie Halse Anderson,491710,23783,4.02,202.0,1999.0,0,"['Young Adult', 'Fiction', 'Contemporary']","['SCBWI Golden Kite Award for Fiction (1999)', 'Edgar Award Nominee for Best Young Adult (2000)', 'Michael L. Printz Award Nominee (2000)', 'South Carolina Book Award for Young Adult Book Award (2002)', 'Rhode Island Teen Book Award Nominee (2001)', ""Dorothy Canfield Fisher Children's Book Award Nominee (2001)"", 'Evergreen Teen Book Award (2002)', 'Boston Globe-Horn Book Award (2000)', 'California Young Readers Medal Nominee for Young Adult (2003)', 'Lincoln Award Nominee (2005)', ""National Book Award Finalist for Young People's Literature (1999)"", 'Oklahoma Sequoyah Award for YA (2002)', 'Margaret A. Edwards Award (2009)']",https://www.goodreads.com/book/show/439288.Speak,6.134,0.76
286,The Witches,Roald Dahl,325881,7959,4.16,208.0,1983.0,0,"['Fantasy', 'Childrens', 'Fiction']","[""Whitbread Award for Children's Novel (1983)"", 'Books I Loved Best Yearly (BILBY) Awards for Read Alone (1993)', ""West Australian Young Readers' Book Award (WAYRBA) for Younger Readers (1986)""]",https://www.goodreads.com/book/show/6327.The_Witches,6.98,1.606
287,Song of Solomon,Toni Morrison,87935,3940,4.09,337.0,1977.0,0,"['Fiction', 'Classics', 'Historical']","['Janet Heidinger Kafka Prize (1977)', 'National Book Critics Circle Award for Fiction (1977)']",https://www.goodreads.com/book/show/11334.Song_of_Solomon,6.557,1.183
288,The Phantom of the Opera,Gaston Leroux,202444,6997,3.96,360.0,1909.0,0,"['Classics', 'Fiction', 'Horror']",,https://www.goodreads.com/book/show/39662.Different_Seasons,5.772,0.398
289,Different Seasons,Stephen King,180693,4694,4.34,560.0,1982.0,0,"['Horror', 'Fiction', 'Short Stories']",['World Fantasy Award Nominee for Best Anthology/Collection (1982)'],https://www.goodreads.com/book/show/480204.The_Phantom_of_the_Opera,8.067,2.693
290,The Satanic Verses,Salman Rushdie,57468,3814,3.7,561.0,1988.0,0,"['Fiction', 'Magical Realism', 'Classics']","['Booker Prize Nominee (1988)', 'Whitbread Award for Novel (1988)']",https://www.goodreads.com/book/show/12781.The_Satanic_Verses,4.201,-1.173
291,The Power of Myth,Joseph Campbell,45320,1844,4.26,320.0,,1,"['Nonfiction', 'Fantasy', 'Mythology']",,https://www.goodreads.com/book/show/35519.The_Power_of_Myth,7.584,2.21
292,The Complete Stories,Franz Kafka,23829,655,4.35,486.0,1946.0,0,"['Fiction', 'Short Stories', 'Classics']",,https://www.goodreads.com/book/show/2666.The_Bonfire_of_the_Vanities,8.128,2.753
293,The Bonfire of the Vanities,Tom Wolfe,73369,2937,3.85,690.0,1987.0,0,"['Fiction', 'Classics', 'Novels']","['Ambassador Book Award for Fiction (1988)', 'National Book Critics Circle Award Nominee for Fiction (1987)']",https://www.goodreads.com/book/show/22904.The_Complete_Stories,5.107,-0.267
294,Bridget Jones's Diary,Helen Fielding,890667,9931,3.78,288.0,1996.0,1,"['Fiction', 'Womens Fiction', 'Chick Lit']","['Audie Award for Solo Narration - Female (2000)', 'British Book of the Year (1998)']",https://www.goodreads.com/book/show/227443.Bridget_Jones_s_Diary,4.685,-0.69
295,Out of Africa,Isak Dinesen,35823,2020,3.92,401.0,1937.0,0,"['Nonfiction', 'Cultural', 'Africa']",,https://www.goodreads.com/book/show/781787.Out_of_Africa,5.53,0.156
296,Wild Swans: Three Daughters of China,Jung Chang,94390,5810,4.25,562.0,1991.0,0,"['Nonfiction', 'History', 'Cultural']","['NCR Book Award (1992)', 'British Book Award (1993)']",https://www.goodreads.com/book/show/1848.Wild_Swans,7.523,2.149
297,The Fall,Albert Camus,76797,3267,4.02,147.0,1956.0,0,"['Fiction', 'Philosophy', 'Classics']",,https://www.goodreads.com/book/show/11991.The_Fall,6.134,0.76
298,Sons and Lovers,D.H. Lawrence,47707,1965,3.63,654.0,1913.0,1,"['Classics', 'Fiction', 'Literature']",,https://www.goodreads.com/book/show/32071.Sons_and_Lovers,3.779,-1.596
299,A Storm of Swords,George R.R. Martin,676858,22323,4.53,1177.0,2000.0,1,"['Fantasy', 'Fiction', 'Fantasy']","['Hugo Award Nominee for Best Novel (2001)', 'Nebula Award Nominee for Best Novel (2001)', 'Locus Award for Best Fantasy Novel (2001)', 'Geffen Award for Best Translated Fantasy Book (2002)', 'Premio Ignotus (2006)', 'Premi Ictineu for Millor novel·la traduïda (2013)']",https://www.goodreads.com/book/show/62291.A_Storm_of_Swords,9.215,3.841
300,The Notebooks of Malte Laurids Brigge,Rainer Maria Rilke,7234,436,4.02,237.0,1910.0,0,"['Fiction', 'Classics', 'European Literature']",,https://www.goodreads.com/book/show/93405.The_Notebooks_of_Malte_Laurids_Brigge,6.134,0.76
301,Jurassic Park,Michael Crichton,815517,12860,4.04,466.0,1990.0,1,"['Science Fiction', 'Fiction', 'Thriller']","['Audie Award for Science Fiction (2016)', 'Books I Loved Best Yearly (BILBY) Awards for Secondary (1996)', 'South Carolina Book Award for Young Adult Book (1994)', 'Colorado Blue Spruce Young Adult Book Award (1993)', ""Nevada Young Readers' Award for Young Adult Category  (1993)"", 'Evergreen Teen Book Award Nominee (1993)', 'Soaring Eagle Book Award (1995)', 'Iowa Teen Award (1995)']",https://www.goodreads.com/book/show/40604658-jurassic-park,6.255,0.881
302,The Polar Express,Chris Van Allsburg,214951,3565,4.31,32.0,1985.0,0,"['Childrens', 'Picture Books', 'Childrens']","['Caldecott Medal (1986)', 'Kentucky Bluegrass Award (1987)', ""Buckeye Children's Book Award for K-2 (1991)"", ""Nevada Young Readers' Award for Primary Category/Picture Book Category  (1988)"", 'Little Archer Award (1986)', 'Boston Globe-Horn Book Award Nominee for Picture Book - Honor Book (1986)']",https://www.goodreads.com/book/show/420282.The_Polar_Express,7.886,2.512
303,The Scarlet Pimpernel,Emmuska Orczy,126300,6417,4.05,182.0,1905.0,1,"['Classics', 'Historical', 'Historical Fiction']",,https://www.goodreads.com/book/show/136116.The_Scarlet_Pimpernel,6.315,0.941
304,Zorba the Greek,Nikos Kazantzakis,38561,4091,4.07,335.0,1946.0,0,"['Fiction', 'Classics', 'Philosophy']",['Prix du Meilleur Livre Étranger for Roman (1954)'],https://www.goodreads.com/book/show/53639.Zorba_the_Greek,6.436,1.062
305,'Salem's Lot,Stephen King,342386,10776,4.03,483.0,1975.0,0,"['Horror', 'Fiction', 'Paranormal']",['World Fantasy Award Nominee for Best Novel (1976)'],https://www.goodreads.com/book/show/11590._Salem_s_Lot,6.195,0.82
306,The Vampire Lestat,Anne Rice,179868,3815,4.06,481.0,1985.0,1,"['Horror', 'Fantasy', 'Paranormal']","['Locus Award Nominee for Best Fantasy Novel (1986)', 'World Fantasy Award Nominee for Best Novel (1986)']",https://www.goodreads.com/book/show/667.Anthem,6.376,1.002
307,Anthem,Ayn Rand,133329,9300,3.63,105.0,1938.0,0,"['Fiction', 'Classics', 'Philosophy']","['Prometheus Hall of Fame Award (1987)', 'Retro Hugo Award Nominee for Best Novella (2014)']",https://www.goodreads.com/book/show/43814.The_Vampire_Lestat,3.779,-1.596
308,Angle of Repose,Wallace Stegner,55553,4524,4.22,569.0,1971.0,0,"['Fiction', 'Historical', 'Historical Fiction']",['Pulitzer Prize for Fiction (1972)'],https://www.goodreads.com/book/show/292408.Angle_of_Repose,7.342,1.968
309,Sometimes a Great Notion,Ken Kesey,21074,1266,4.18,640.0,1964.0,0,"['Fiction', 'Classics', 'Literature']",,https://www.goodreads.com/book/show/529626.Sometimes_a_Great_Notion,7.101,1.726
310,The Tale of Peter Rabbit,Beatrix Potter,212275,2106,4.18,72.0,1901.0,1,"['Childrens', 'Classics', 'Childrens']",['Lewis Carroll Shelf Award (1958)'],https://www.goodreads.com/book/show/469571.All_the_Pretty_Horses,7.101,1.726
311,All the Pretty Horses,Cormac McCarthy,95307,6270,4.0,302.0,1992.0,1,"['Fiction', 'Westerns', 'Historical']","['National Book Award for Fiction (1992)', 'National Book Critics Circle Award for Fiction (1992)']",https://www.goodreads.com/book/show/19321.The_Tale_of_Peter_Rabbit,6.013,0.639
312,Lady Chatterley's Lover,D.H. Lawrence,104186,5170,3.51,376.0,1923.0,0,"['Classics', 'Fiction', 'Romance']",,https://www.goodreads.com/book/show/32049.Lady_Chatterley_s_Lover,3.054,-2.321
313,Pippi Longstocking,Astrid Lindgren,171856,3904,4.13,160.0,1945.0,1,"['Classics', 'Childrens', 'Fiction']",['Lewis Carroll Shelf Award (1973)'],https://www.goodreads.com/book/show/19302.Pippi_Longstocking,6.799,1.424
314,The Man Without Qualities: Volume I,Robert Musil,2912,230,4.34,725.0,1930.0,1,"['Fiction', 'Classics', 'Literature']",['Prix du Meilleur Livre Étranger for Roman (1958)'],https://www.goodreads.com/book/show/65605.The_Magician_s_Nephew,8.067,2.693
315,The Magician's Nephew,C.S. Lewis,423906,13746,4.04,221.0,1955.0,1,"['Fantasy', 'Classics', 'Fiction']",,https://www.goodreads.com/book/show/191940.The_Man_Without_Qualities,6.255,0.881
316,Howl and Other Poems,Allen Ginsberg,95278,1750,4.12,56.0,1956.0,0,"['Poetry', 'Classics', 'Fiction']",,https://www.goodreads.com/book/show/10614.Misery,6.738,1.364
317,Misery,Stephen King,512905,13160,4.17,370.0,1987.0,0,"['Horror', 'Fiction', 'Thriller']","['Bram Stoker Award for Best Novel (1987)', 'World Fantasy Award Nominee for Best Novel (1988)']",https://www.goodreads.com/book/show/6295.Howl_and_Other_Poems,7.04,1.666
318,A Brief History of Time,Stephen Hawking,314419,9191,4.18,212.0,1988.0,0,"['Science', 'Nonfiction', 'Science']",['Royal Society Science Book Prize Nominee for General Prize (1989)'],https://www.goodreads.com/book/show/140225.The_Voyage_of_the_Dawn_Treader,7.101,1.726
319,The Voyage of the Dawn Treader,C.S. Lewis,403930,7089,4.08,248.0,1952.0,1,"['Fantasy', 'Fiction', 'Classics']",,https://www.goodreads.com/book/show/3869.A_Brief_History_of_Time,6.497,1.122
320,The Green Mile,Stephen King,253937,8025,4.45,592.0,,1,"['Horror', 'Fiction', 'Fantasy']","['Bram Stoker Award for Best Novel (1996)', 'Audie Award for Fiction, Unabridged (1997)']",https://www.goodreads.com/book/show/175675.Ragtime,8.732,3.357
321,Ragtime,E.L. Doctorow,38408,2534,3.88,320.0,1975.0,0,"['Fiction', 'Historical', 'Historical Fiction']","['Nebula Award Nominee for Novel (1976)', 'National Book Critics Circle Award for Fiction (1975)']",https://www.goodreads.com/book/show/11566.The_Green_Mile,5.289,-0.086
322,The Quiet American,Graham Greene,52351,3304,3.95,180.0,1955.0,0,"['Fiction', 'Classics', 'Historical']",,https://www.goodreads.com/book/show/3698.The_Quiet_American,5.711,0.337
323,"Rabbit, Run",John Updike,55671,3332,3.58,325.0,1960.0,1,"['Fiction', 'Classics', 'Novels']",['National Book Award Finalist for Fiction (1961)'],https://www.goodreads.com/book/show/85386.Rabbit_Run,3.477,-1.898
324,The Selected Poetry of Rainer Maria Rilke,Rainer Maria Rilke,14362,464,4.39,356.0,1948.0,0,"['Poetry', 'Classics', 'European Literature']","['Harold Morton Landon Translation Award (1984)', 'Schlegel-Tieck Prize for Ian Crockatt (2013)']",https://www.goodreads.com/book/show/46114.The_Waves,8.369,2.995
325,The Waves,Virginia Woolf,28798,2418,4.15,297.0,1931.0,0,"['Classics', 'Fiction', 'Literature']",,https://www.goodreads.com/book/show/46201.The_Selected_Poetry_of_Rainer_Maria_Rilke,6.919,1.545
326,The French Lieutenant's Woman,John Fowles,47243,1713,3.87,470.0,1969.0,0,"['Fiction', 'Classics', 'Historical']",['WH Smith Literary Award (1970)'],https://www.goodreads.com/book/show/29641.The_End_of_the_Affair,5.228,-0.146
327,The End of the Affair,Graham Greene,54077,4691,3.91,160.0,1951.0,0,"['Fiction', 'Classics', 'Romance']",['Audie Award for Audio (2013)'],https://www.goodreads.com/book/show/56034.The_French_Lieutenant_s_Woman,5.47,0.096
328,Pale Fire,Vladimir Nabokov,44783,2676,4.11,246.0,1962.0,0,"['Fiction', 'Classics', 'Poetry']",['National Book Award Finalist for Fiction (1963)'],https://www.goodreads.com/book/show/7805.Pale_Fire,6.678,1.304
329,A Canticle for Leibowitz,Walter M. Miller Jr.,95920,4845,3.97,334.0,1959.0,1,"['Science Fiction', 'Fiction', 'Apocalyptic']","['Hugo Award for Best Novel (1961)', 'Locus Award for All-Time Best Novel (1975)']",https://www.goodreads.com/book/show/164154.A_Canticle_for_Leibowitz,5.832,0.458
330,Old Yeller,Fred Gipson,87477,2241,4.08,132.0,1958.0,1,"['Classics', 'Fiction', 'Young Adult']","['Newbery Medal Nominee (1957)', 'Nene Award (1966)', ""Pacific Northwest Library Association Young Reader's Choice Award (1959)"", ""William Allen White Children's Book Award (1959)"", 'Oklahoma Sequoyah Award (1959)']",https://www.goodreads.com/book/show/130580.Old_Yeller,6.497,1.122
331,A Clash of Kings,George R.R. Martin,801431,24117,4.41,969.0,1998.0,1,"['Fantasy', 'Fiction', 'Fantasy']","['Nebula Award Nominee for Best Novel (1999)', 'Locus Award for Best Fantasy Novel (1999)', 'Premio Ignotus for Novela extranjera (2004)']",https://www.goodreads.com/book/show/10572.A_Clash_of_Kings,8.49,3.116
332,The Alexandria Quartet,Lawrence Durrell,11235,452,4.17,884.0,1960.0,1,"['Fiction', 'Classics', 'Historical']",,https://www.goodreads.com/book/show/801754.The_Decline_of_the_West,7.04,1.666
333,The Decline of the West,Oswald Spengler,1534,113,4.06,492.0,1918.0,0,"['History', 'Philosophy', 'Nonfiction']",,https://www.goodreads.com/book/show/13033.The_Alexandria_Quartet,6.376,1.002
334,On the Beach,Nevil Shute,35801,2618,3.95,296.0,1957.0,0,"['Fiction', 'Science Fiction', 'Apocalyptic']",,https://www.goodreads.com/book/show/902.The_Westing_Game,5.711,0.337
335,The Westing Game,Ellen Raskin,171166,10865,4.01,182.0,1978.0,0,"['Mystery', 'Young Adult', 'Fiction']","['Newbery Medal (1979)', 'Banta Award', ""Dorothy Canfield Fisher Children's Book Award Nominee (1980)"", 'Boston Globe-Horn Book Award for Fiction (1978)', ""National Book Award Finalist for Children's Book, Fiction (Paperback) (1981)"", ""Virginia Reader's Choice""]",https://www.goodreads.com/book/show/38180.On_the_Beach,6.074,0.7
336,Naked Lunch,William S. Burroughs,85712,3590,3.46,289.0,1959.0,0,"['Fiction', 'Classics', 'Literature']",,https://www.goodreads.com/book/show/50833.Valley_of_the_Dolls,2.752,-2.623
337,Valley of the Dolls,Jacqueline Susann,50520,3497,3.76,449.0,1966.0,0,"['Fiction', 'Classics', 'Womens Fiction']",,https://www.goodreads.com/book/show/7437.Naked_Lunch,4.564,-0.811
338,An American Tragedy,Theodore Dreiser,32305,1369,3.95,859.0,1925.0,0,"['Classics', 'Fiction', 'Literature']",,https://www.goodreads.com/book/show/331319.An_American_Tragedy,5.711,0.337
339,All Creatures Great and Small,James Herriot,117764,4135,4.31,437.0,1972.0,1,"['Nonfiction', 'Animals', 'Autobiography']",,https://www.goodreads.com/book/show/32085.All_Creatures_Great_and_Small,7.886,2.512
340,Portnoy's Complaint,Philip Roth,60459,3096,3.7,274.0,1969.0,0,"['Fiction', 'Classics', 'Novels']",['Kääntäjien valtionpalkinto (1970)'],https://www.goodreads.com/book/show/43945.Portnoy_s_Complaint,4.201,-1.173
341,A Wizard of Earthsea,Ursula K. Le Guin,248840,9923,3.99,183.0,1968.0,1,"['Fantasy', 'Fiction', 'Young Adult']","['Lewis Carroll Shelf Award (1979)', 'Boston Globe-Horn Book Award for Fiction (1969)', 'Złota Sepulka for Książka autora zagranicznego (1984)', 'Margaret A. Edwards Award (2004)']",https://www.goodreads.com/book/show/13642.A_Wizard_of_Earthsea,5.953,0.579
342,The Bone People,Keri Hulme,19842,1797,4.05,450.0,1984.0,0,"['Fiction', 'Magical Realism', 'Literary Fiction']","['Booker Prize (1985)', 'Pegasus Prize for Literature (1985)', 'Ockham New Zealand Book Awards for Fiction (NZ Book Awards) (1984)']",https://www.goodreads.com/book/show/460635.The_Bone_People,6.315,0.941
343,The Pelican Brief,John Grisham,381180,2703,4.02,400.0,1992.0,0,"['Fiction', 'Mystery', 'Thriller']",['Evergreen Teen Book Award (1995)'],https://www.goodreads.com/book/show/32499.The_Pelican_Brief,6.134,0.76
