,1st Pub,Author,Awards,Genres,Link,N pag,Rating Count,Rating Value,Review Count,Title,series
168,1918,Willa Cather,,"['Classics', 'Fiction', 'Historical']",https://www.goodreads.com/book/show/41681.The_Jungle,232,121256,3.80,7556,My Ántonia,1
169,1905,Upton Sinclair,,"['Classics', 'Fiction', 'Historical']",https://www.goodreads.com/book/show/17150.My_ntonia,335,130099,3.75,5890,The Jungle,0
170,1940,Carson McCullers,,"['Fiction', 'Classics', 'Literature']",https://www.goodreads.com/book/show/386187.Midnight_in_the_Garden_of_Good_and_Evil,359,93938,3.98,6506,The Heart Is a Lonely Hunter,0
171,1994,John Berendt,"['Pulitzer Prize Nominee for General Nonfiction (1995)', 'Exclusive Books Boeke Prize (1995)', 'Ferro-Grumley Award for Gay Fiction (Non-Fiction) (1994)', ""Lambda Literary Award for Gay Men's Mystery (1995)""]","['Nonfiction', 'Crime', 'True Crime']",https://www.goodreads.com/book/show/37380.The_Heart_Is_a_Lonely_Hunter,386,229235,3.92,9081,Midnight in the Garden of Good and Evil,0
172,1992,Michael Ondaatje,"['Booker Prize (1992)', ""Governor General's Literary Awards / Prix littéraires du Gouverneur général for Fiction (1992)"", ""Commonwealth Writers' Prize for Best Book in Caribbean and Canada (1993)"", 'Trillium Book Award (1993)', 'Golden Man Booker Prize (2018)']","['Fiction', 'Historical', 'Historical Fiction']",https://www.goodreads.com/book/show/5439.Interpreter_of_Maladies,320,115142,3.88,4747,The English Patient,0
173,1999,Jhumpa Lahiri,"['Pulitzer Prize for Fiction (2000)', 'PEN/Hemingway Foundation Award (2000)', 'Puddly Award for Short Stories (2001)']","['Short Stories', 'Fiction', 'Cultural']",https://www.goodreads.com/book/show/11713.The_English_Patient,198,162346,4.16,10896,Interpreter of Maladies,0
174,1920,Edith Wharton,['Pulitzer Prize for Novel (1921)'],"['Classics', 'Fiction', 'Historical']",https://www.goodreads.com/book/show/53835.The_Age_of_Innocence,293,141398,3.95,6959,The Age of Innocence,0
175,1989,Laura Esquivel,"['Prêmio Jabuti for Tradução (1994)', 'American Booksellers Book Of The Year  Award for Adult Trade (1994)']","['Fiction', 'Romance', 'Magical Realism']",https://www.goodreads.com/book/show/6952.Like_Water_for_Chocolate,222,327673,3.95,9535,Like Water for Chocolate,1
176,1959,John Knowles,"['Rosenthal Family Foundation Award (1961)', 'William Faulkner Foundation Award (1961)', 'National Book Award Finalist for Fiction (1961)']","['Classics', 'Fiction', 'Young Adult']",https://www.goodreads.com/book/show/12749.Swann_s_Way,208,192920,3.58,7566,A Separate Peace,0
177,1913,Marcel Proust,"['French-American Foundation Translation Prize for Fiction (2003)', 'Премія «Сковорода» (2001)']","['Classics', 'Fiction', 'Cultural']",https://www.goodreads.com/book/show/5148.A_Separate_Peace,444,48995,4.11,3681,Swann's Way,1
178,1979,Italo Calvino,"['Ars Translationis (2010)', 'Ein Buch für die Stadt (2004)']","['Fiction', 'Classics', 'European Literature']",https://www.goodreads.com/book/show/3985.The_Amazing_Adventures_of_Kavalier_Clay,260,76473,4.05,6221,If on a Winter's Night a Traveler,0
179,2000,Michael Chabon,"['Pulitzer Prize for Fiction (2001)', 'PEN/Faulkner Award for Fiction Nominee (2001)', 'Gaylactic Spectrum Award Nominee for Best Novel (2001)', 'California Book Award for Fiction (Gold) (2000)', 'Los Angeles Times Book Prize Nominee for Fiction (2000)', 'New York City Book Award for Fiction (2000)', 'National Book Critics Circle Award Nominee for Fiction (2000)']","['Fiction', 'Historical', 'Historical Fiction']",https://www.goodreads.com/book/show/374233.If_on_a_Winter_s_Night_a_Traveler,639,185778,4.18,11056,The Amazing Adventures of Kavalier & Clay,0
180,1974,Robert M. Pirsig,['National Book Award Finalist Nominee for Contemporary Affairs (1975)'],"['Philosophy', 'Fiction', 'Classics']",https://www.goodreads.com/book/show/6.Harry_Potter_and_the_Goblet_of_Fire,540,205598,3.77,8784,Zen and the Art of Motorcycle Maintenance: An Inquiry Into Values,1
181,2000,J.K. Rowling,"['Hugo Award for Best Novel (2001)', ""Mythopoeic Fantasy Award for Children's Literature (2008)"", 'Publieksprijs voor het Nederlandse Boek (2001)', 'Audie Award for Solo Narration - Male (2001)', ""West Australian Young Readers' Book Award (WAYRBA) for Younger Readers (2001)"", 'Golden Archer Award for Middle/Junior High (2002)', 'Indian Paintbrush Book Award (2002)', 'Deutscher Bücherpreis for Publikumspreis', 'Corine Internationaler Buchpreis for Kinder- und Jugendbuch (2001)']","['Fantasy', 'Young Adult', 'Fiction']",https://www.goodreads.com/book/show/629.Zen_and_the_Art_of_Motorcycle_Maintenance,734,2672557,4.56,47875,Harry Potter and the Goblet of Fire,1
182,1999,J.M. Coetzee,"['Booker Prize (1999)', 'National Book Critics Circle Award Nominee for Fiction (1999)', ""Commonwealth Writers' Prize for Best Book Overall (2000)"", 'The Best of the Booker Nominee (2008)', 'International Dublin Literary Award Nominee (2001)']","['Fiction', 'Cultural', 'Africa']",https://www.goodreads.com/book/show/6192.Disgrace,220,89562,3.84,6369,Disgrace,0
